[18-Feb-2025 10:02:21 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:03:11 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:03:16 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:03:21 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:04:10 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:04:21 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:05:31 America/Montevideo] PHP Notice:  Undefined variable: clientClass in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 62
[18-Feb-2025 10:06:30 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
[18-Feb-2025 10:06:30 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:07:20 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
[18-Feb-2025 10:07:20 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:07:45 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
[18-Feb-2025 10:07:45 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:08:04 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
[18-Feb-2025 10:08:04 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:08:42 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
[18-Feb-2025 10:08:42 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:08:42 America/Montevideo] PHP Notice:  Trying to get property 'usuarios' of non-object in C:\xampp\htdocs\orderNet\src\routes\routes_users.php on line 45
[18-Feb-2025 10:08:55 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
[18-Feb-2025 10:08:55 America/Montevideo] PHP Notice:  Trying to get property 'result' of non-object in C:\xampp\htdocs\orderNet\src\controllers\ctr_users.php on line 63
[18-Feb-2025 10:08:55 America/Montevideo] PHP Notice:  Trying to get property 'usuarios' of non-object in C:\xampp\htdocs\orderNet\src\routes\routes_users.php on line 45
[18-Feb-2025 10:09:22 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 53
