[28-Feb-2025 08:50:29 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\routes.php on line 18
[28-Feb-2025 08:58:21 America/Montevideo] PHP Notice:  Undefined variable: responseFunction in C:\xampp\htdocs\orderNet\src\routes.php on line 16
[28-Feb-2025 09:02:14 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 281
[28-Feb-2025 09:02:15 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 125
[28-Feb-2025 09:02:17 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 363
[28-Feb-2025 09:02:18 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 301
[28-Feb-2025 09:02:23 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 423
[28-Feb-2025 09:02:24 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 453
[28-Feb-2025 09:02:26 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 453
[28-Feb-2025 09:29:02 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 439
[28-Feb-2025 09:34:56 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 363
[28-Feb-2025 09:35:01 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 439
[28-Feb-2025 09:41:52 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 281
[28-Feb-2025 09:43:33 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 453
[28-Feb-2025 09:45:09 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 453
[28-Feb-2025 09:45:11 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 439
[28-Feb-2025 09:45:14 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 281
[28-Feb-2025 09:46:12 America/Montevideo] PHP Warning:  Creating default object from empty value in C:\xampp\htdocs\orderNet\src\class\defaultclass\users.php on line 281
